
                                  SUMMARY OF ENERGY TRANSFER AT THE SURFACE


                               SOLAR RADIATION                         LONG-WAVE RADIATION
               ------------------------------------------    -----------------------------------------
 DAY HR  YR    CANOPY     SNOW   RESIDUE    SOIL   TOTAL     CANOPY    SNOW   RESIDUE    SOIL    TOTAL  SENSIBLE  LATENT
                KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2   KJ/M2
 345  5   86       0.       0.       0.       0.       0.       0.       0.       0.     -40.     -40.       2.     -45.
 345  6   86       0.       0.       0.       0.       0.       0.       0.       0.     -38.     -38.       2.     -56.
 345  7   86       0.       0.       0.       0.       0.       0.       0.       0.       4.       4.      11.     -31.
 345  8   86       0.       0.       0.      18.      18.       0.       0.       0.      66.      66.      22.     -15.
 345  9   86       0.       0.       0.     108.     108.       0.       0.       0.      83.      83.      25.      -8.
 345 10   86       0.       0.       0.     231.     231.       0.       0.       0.      96.      96.      27.     -25.
 345 11   86       0.       0.       0.     378.     378.       0.       0.       0.     106.     106.      40.     -28.
 345 12   86       0.       0.       0.     292.     292.       0.       0.       0.     115.     115.      64.     -26.
 345 13   86       0.       0.       0.     263.     263.       0.       0.       0.     106.     106.      60.    -107.
 345 14   86       0.       0.       0.     302.     302.       0.       0.       0.      97.      97.      89.     -45.
 345 15   86       0.       0.       0.     257.     257.       0.       0.       0.     111.     111.      70.     -86.
 345 16   86       0.       0.       0.      67.      67.       0.       0.       0.     108.     108.      35.     -62.
 345 17   86       0.       0.       0.       2.       2.       0.       0.       0.      22.      22.      13.     -68.
 345 18   86       0.       0.       0.       0.       0.       0.       0.       0.      27.      27.      14.     -68.
 345 19   86       0.       0.       0.       0.       0.       0.       0.       0.     -10.     -10.       7.     -60.
 345 20   86       0.       0.       0.       0.       0.       0.       0.       0.     -26.     -26.       7.     -69.
 345 21   86       0.       0.       0.       0.       0.       0.       0.       0.     -36.     -36.      11.    -312.
 345 22   86       0.       0.       0.       0.       0.       0.       0.       0.     -27.     -27.      11.    -129.
 345 23   86       0.       0.       0.       0.       0.       0.       0.       0.     -42.     -42.       1.     -56.
 345 24   86       0.       0.       0.       0.       0.       0.       0.       0.     -38.     -38.       2.     -59.
 346  1   86       0.       0.       0.       0.       0.       0.       0.       0.     -52.     -52.      -2.    -179.
 346  2   86       0.       0.       0.       0.       0.       0.       0.       0.     -47.     -47.       1.     -80.
 346  3   86       0.       0.       0.       0.       0.       0.       0.       0.     -43.     -43.       1.     -53.
 346  4   86       0.       0.       0.       0.       0.       0.       0.       0.     -41.     -41.       2.     -36.
 346  5   86       0.       0.       0.       0.       0.       0.       0.       0.     -39.     -39.       2.     -53.
 346  6   86       0.       0.       0.       0.       0.       0.       0.       0.     -37.     -37.       2.     -67.
 346  7   86       0.       0.       0.       0.       0.       0.       0.       0.       5.       5.      11.     -21.
 346  8   86       0.       0.       0.       7.       7.       0.       0.       0.      67.      67.      22.      -6.
 346  9   86       0.       0.       0.      64.      64.       0.       0.       0.      85.      85.      26.     -42.
 346 10   86       0.       0.       0.     134.     134.       0.       0.       0.     101.     101.      28.     -30.
 346 11   86       0.       0.       0.     276.     276.       0.       0.       0.     118.     118.     113.       9.
 346 12   86       0.       0.       0.     318.     318.       0.       0.       0.     128.     128.      74.      -1.
 346 13   86       0.       0.       0.     286.     286.       0.       0.       0.     118.     118.      39.     -28.
 346 14   86       0.       0.       0.     201.     201.       0.       0.       0.     112.     112.      30.     -58.
 346 15   86       0.       0.       0.     139.     139.       0.       0.       0.     129.     129.      32.      -8.
 346 16   86       0.       0.       0.      35.      35.       0.       0.       0.     125.     125.      97.    -128.
 346 17   86       0.       0.       0.       1.       1.       0.       0.       0.      37.      37.      51.     -82.
 346 18   86       0.       0.       0.       0.       0.       0.       0.       0.      41.      41.      58.    -168.
 346 19   86       0.       0.       0.       0.       0.       0.       0.       0.       8.       8.      74.    -452.
 346 20   86       0.       0.       0.       0.       0.       0.       0.       0.      -2.      -2.      86.    -261.
 346 21   86       0.       0.       0.       0.       0.       0.       0.       0.     -13.     -13.      80.    -464.
 346 22   86       0.       0.       0.       0.       0.       0.       0.       0.      -2.      -2.      69.    -308.
 346 23   86       0.       0.       0.       0.       0.       0.       0.       0.     -17.     -17.      40.    -170.
 346 24   86       0.       0.       0.       0.       0.       0.       0.       0.     -15.     -15.       9.     -48.
 347  1   86       0.       0.       0.       0.       0.       0.       0.       0.     -35.     -35.       3.     -41.
 347  2   86       0.       0.       0.       0.       0.       0.       0.       0.     -33.     -33.       5.     -84.
 347  3   86       0.       0.       0.       0.       0.       0.       0.       0.     -27.     -27.      44.    -330.
 347  4   86       0.       0.       0.       0.       0.       0.       0.       0.     -13.     -13.      88.    -707.
 347  5   86       0.       0.       0.       0.       0.       0.       0.       0.       2.       2.     114.    -614.
 347  6   86       0.       0.       0.       0.       0.       0.       0.       0.       7.       7.     149.    -223.
 347  7   86       0.       0.       0.       0.       0.       0.       0.       0.      45.      45.     236.    -276.
 347  8   86       0.       0.       0.      38.      38.       0.       0.       0.     100.     100.     314.    -123.
 347  9   86       0.       0.       0.     176.     176.       0.       0.       0.     109.     109.     125.     -87.
 347 10   86       0.       0.       0.     238.     238.       0.       0.       0.     117.     117.     190.     -40.
 347 11   86       0.       0.       0.     335.     335.       0.       0.       0.     122.     122.     271.    -215.
 347 12   86       0.       0.       0.     505.     505.       0.       0.       0.     128.     128.     409.    -465.
 347 13   86       0.       0.       0.     444.     444.       0.       0.       0.     117.     117.     402.    -687.
 347 14   86       0.       0.       0.     339.     339.       0.       0.       0.     102.     102.     444.     -70.
 347 15   86       0.       0.       0.     232.     232.       0.       0.       0.     113.     113.     523.    -658.
 347 16   86       0.       0.       0.      28.      28.       0.       0.       0.     107.     107.     365.     -52.
 347 17   86       0.       0.       0.       1.       1.       0.       0.       0.      29.      29.     210.    -971.
 347 18   86       0.       0.       0.       0.       0.       0.       0.       0.      44.      44.     135.    -156.
 347 19   86       0.       0.       0.       0.       0.       0.       0.       0.      21.      21.     124.    -596.
 347 20   86       0.       0.       0.       0.       0.       0.       0.       0.      25.      25.     116.    -216.
 347 21   86       0.       0.       0.       0.       0.       0.       0.       0.       6.       6.      20.    -114.
 347 22   86       0.       0.       0.       0.       0.       0.       0.       0.      10.      10.      20.     -73.
 347 23   86       0.       0.       0.       0.       0.       0.       0.       0.      -4.      -4.      35.    -102.
 347 24   86       0.       0.       0.       0.       0.       0.       0.       0.      -1.      -1.      69.    -238.
 348  1   86       0.       0.       0.       0.       0.       0.       0.       0.     -19.     -19.      21.    -114.
 348  2   86       0.       0.       0.       0.       0.       0.       0.       0.     -17.     -17.      54.    -200.
 348  3   86       0.       0.       0.       0.       0.       0.       0.       0.     -13.     -13.      48.    -229.
 348  4   86       0.       0.       0.       0.       0.       0.       0.       0.      -7.      -7.      89.    -392.
 348  5   86       0.       0.       0.       0.       0.       0.       0.       0.       3.       3.     117.    -607.
 348  6   86       0.       0.       0.       0.       0.       0.       0.       0.      10.      10.     156.    -341.
 348  7   86       0.       0.       0.       0.       0.       0.       0.       0.      55.      55.     219.    -430.
 348  8   86       0.       0.       0.      24.      24.       0.       0.       0.     115.     115.     442.     -56.
 348  9   86       0.       0.       0.     215.     215.       0.       0.       0.     118.     118.     409.    -274.
 348 10   86       0.       0.       0.     394.     394.       0.       0.       0.     120.     120.     361.      -6.
 348 11   86       0.       0.       0.     713.     713.       0.       0.       0.     109.     109.     359.      14.
 348 12   86       0.       0.       0.    1035.    1035.       0.       0.       0.     101.     101.     282.    -389.
 348 13   86       0.       0.       0.     631.     631.       0.       0.       0.      91.      91.     356.    -941.
 348 14   86       0.       0.       0.     624.     624.       0.       0.       0.      91.      91.     306.    -832.
 348 15   86       0.       0.       0.     508.     508.       0.       0.       0.     104.     104.     312.    -235.
 348 16   86       0.       0.       0.      92.      92.       0.       0.       0.     104.     104.     291.    -739.
 348 17   86       0.       0.       0.       4.       4.       0.       0.       0.      34.      34.     166.    -784.
 348 18   86       0.       0.       0.       0.       0.       0.       0.       0.      53.      53.     193.    -636.
